stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
02024104,Buozzi-str. Deserto,"",41.112172,16.829625,02024104,0,
02024105,Buozzi-Boggiano,"",41.110112,16.826255,02024105,0,
02037001,Bonomo-De Benedictis,"",41.130702,16.798805,02037001,0,
02048105,Massa(Mercato),"",41.128912,16.782315,02048105,0,
02057102,Cacudi-De Ribera,"",41.127742,16.791455,02057102,0,
02150104,De Blasio-Jacobini,"",41.114552,16.805365,02150104,0,
02174102,De Ribera-Regioni,"",41.123142,16.791255,02174102,0,
02200101,Murari (exCalabrese),"",41.104592,16.812195,02200101,0,
02202001,Pioneri-Melisurgo,"",41.105962,16.804445,02202001,0,
02202101,Camelie (SKF),"",41.108982,16.796635,02202101,0,
02202102,Camelie (Italutensili),"",41.107342,16.801495,02202102,0,
02206101,Mimose (Agrilevante),"",41.108700,16.788700,02206101,0,
02210001,Regioni(Don Milani),"",41.121672,16.788025,02210001,0,
02210101,Regioni-Miglionico,"",41.123172,16.797605,02210101,0,
02234001,Distaso-Don Gnocchi,"",41.129792,16.788805,02234001,0,
02234002,Don Gnocchi I,"",41.130602,16.787745,02234002,0,
02240002,Europa-Cacudi,"",41.129862,16.795595,02240002,0,
02240110,Europa-Cacudi,"",41.129902,16.795605,02240110,0,
02240111,Europa(GdF),"",41.133922,16.787015,02240111,0,
02290001,Granieri-Pugliese,"",41.126432,16.795155,02290001,0,
02301002,La Rotella-Europa,"",41.123900,16.825200,02301002,0,
02301102,La Rotella(Peugeot),"",41.123242,16.822705,02301102,0,
02408001,Mazzoni-Candura,"",41.126012,16.799625,02408001,0,
02516101,"Troccoli, 18B","",41.127412,16.780455,02516101,0,
02564101,Zippitelli VI,"",41.116042,16.822265,02564101,0,
02564102,Zippitelli IV,"",41.109382,16.819715,02564102,0,
03051C00,Parco Domingo,"",41.092303,16.854255,03051C00,0,
03094002,S. Caterina(campetti),"",41.090792,16.823155,03094002,0,
03120101,"C. Vaticano II, 35/A","",41.104783,16.865025,03120101,0,
03124001,Cotugno (Angiulli),"",41.107713,16.856535,03124001,0,
03237C00,Policlinico,"",41.112773,16.862075,03237C00,0,
03270101,Bellomo-M.Losacco,"",41.105963,16.850655,03270101,0,
03285006,Petroni-Kennedy,"",41.101583,16.867205,03285006,0,
03285012,Caserma Rossani,"",41.115600,16.868700,03285012,0,
03285104,Petroni-Giov. XXIII,"",41.107553,16.867725,03285104,0,
03285110,Petroni(Osp. Mil),"",41.096093,16.867515,03285110,0,
03309001,Lazio-Toscana,"",41.119412,16.792485,03309001,0,
03328102,Fac. Economia,"",41.096233,16.854415,03328102,0,
03348001,King-Che Guevara,"",41.100553,16.859025,03348001,0,
03348101,King-Che Guevara,"",41.100683,16.857505,03348101,0,
03417105,Pasteur-Sangiorgi,"",41.113513,16.852755,03417105,0,
04034C00,Parco Adria,"",41.079752,16.833525,04034C00,0,
04102002,Ceglie 55,"",41.054300,16.873500,04102002,0,
04102C00,Agronomico,"",41.051700,16.878800,04102C00,0,
04159106,De Filippo III,"",41.075400,16.854600,04159106,0,
04162102,De Gasperi 463,"",41.088173,16.869385,04162102,0,
04171002,De Marinis-Ponte,"",41.076623,16.870305,04171002,0,
04171102,De Marinis-Padova,"",41.076913,16.870275,04171102,0,
04253002,Ferrigni-Lama del Duca,"",41.074193,16.854715,04253002,0,
04253101,Contrada Ferrigni,"",41.074233,16.854905,04253101,0,
04285101,Petroni-Dalla Chiesa,"",41.088783,16.865595,04285101,0,
04367C00,Don Nuzzi,"",41.045103,16.850745,04367C00,0,
04426001,Perrone (chiesa),"",41.043963,16.850235,04426001,0,
04443102,Quaranta 7,"",41.065513,16.872125,04443102,0,
04456101,Umberto I 9,"",41.066000,16.868600,04456101,0,
04513010,Liuzzi 18,"",41.078933,16.862355,04513010,0,
04513103,Liuzzi-Di Cillo,"",41.072513,16.861595,04513103,0,
04562101,Zaccaria,"",41.045913,16.852585,04562101,0,
05018101,Appulo-Archimede,"",41.104563,16.900695,05018101,0,
05021003,"Archimede, 19","",41.103833,16.903125,05021003,0,
05027001,Bari 26,"",41.086384,16.991876,05027001,0,
05097001,Cavalieri V. Veneto I,"",41.108243,16.895635,05097001,0,
05114102,"Compl.  Est, Telecom","",41.097313,16.939376,05114102,0,
05144001,D'Avanzo I,"",41.104553,16.907245,05144001,0,
05144002,D'Avanzo III,"",41.103813,16.909125,05144002,0,
05216106,Strada  Marina XIII,"",41.096154,16.966956,05216106,0,
05243101,Abate Eustasio I,"",41.095283,16.955586,05243101,0,
05252C00,Fenicia cap.,"",41.083374,17.001616,05252C00,0,
05273006,Gentile-Quintavalle,"",41.104333,16.920995,05273006,0,
01069101,Capitaneo-Nazionale,"",41.158162,16.762145,01069101,0,
01096003,str.Catino(Stadio),"",41.153202,16.734505,01096003,0,
01135101,Colombo-Marconi,"",41.163962,16.748765,01135101,0,
01142001,Duca D'Aosta-Guelfi,"",41.153600,16.768000,01142001,0,
01143004,D'Annunzio (CPT),"",41.144062,16.778635,01143004,0,
01143101,Aereounatica Militare,"",41.146502,16.778565,01143101,0,
01226002,Diaz-Duca D'Aosta,"",41.153112,16.767615,01226002,0,
01251001,Aeroporto,"",41.133802,16.763405,01251001,0,
01310C00,Lealta',"",41.148792,16.737065,01310C00,0,
01378008,"Napoli, 6/b","",41.160792,16.755925,01378008,0,
01378009,"Napoli, 6/A","",41.160212,16.758125,01378009,0,
01378109,Napoli-Pansini,"",41.164962,16.739395,01378109,0,
01378111,"Napoli, 233/C","",41.166172,16.733585,01378111,0,
01384004,Nazionale (IPSIA) II,"",41.151862,16.776525,01384004,0,
01515104,Torricella-P. Pasquale,"",41.146682,16.742685,01515104,0,
01562104,V.Veneto-Palasciano,"",41.154482,16.765165,01562104,0,
02002101,Accolti Gil-Fuzio,"",41.120202,16.812135,02002101,0,
02002103,Accolti Gil (Eurospin),"",41.119272,16.806045,02002103,0,
02024006,Buozzi-Cheren,"",41.117032,16.838645,02024006,0,
02057004,Cacudi-D'Alesio,"",41.126262,16.786285,02057004,0,
02057005,Cacudi(farmacia),"",41.125712,16.788835,02057005,0,
02057101,Cacudi(I.Scolastico),"",41.129100,16.794500,02057101,0,
02112101,Columbo (RFI),"",41.120632,16.821945,02112101,0,
02123001,Corigliano-Lindemann,"",41.122472,16.817575,02123001,0,
02141101,D'Alesio II,"",41.127272,16.786675,02141101,0,
02150004,De Blasio-F. Philips,"",41.114552,16.805585,02150004,0,
02174001,De Ribera-Regioni,"",41.123072,16.791285,02174001,0,
02174002,De Ribera-Giaquinto,"",41.125122,16.791575,02174002,0,
02174004,Polifunzionale P.S.,"",41.126392,16.791685,02174004,0,
02200001,Margherite (Firestone),"",41.103222,16.796145,02200001,0,
02200104,Margherite (Dalmine),"",41.101862,16.792555,02200104,0,
02210105,Regioni-Giaquinto,"",41.123082,16.795475,02210105,0,
02234003,Don Gnocchi II,"",41.130752,16.786105,02234003,0,
02240004,Europa-Mazzoni,"",41.124972,16.798485,02240004,0,
02240101,Europa-Buozzi,"",41.118212,16.839705,02240101,0,
02242101,Variante Europa II,"",41.124322,16.822525,02242101,0,
02246001,F.lli Philips,"",41.113200,16.805600,02246001,0,
02301101,La Rotella-Europa,"",41.123762,16.825185,02301101,0,
02315101,.................,"",41.121732,16.816255,02315101,0,
02315102,Fuzio-Accolti Gil,"",41.119632,16.815285,02315102,0,
02437101,Puglia-Molise,"",41.121372,16.796965,02437101,0,
02512101,Tramonte(Perotti),"",41.128282,16.797625,02512101,0,
02549102,-Veneto-Alessandria,"",41.119562,16.791095,02549102,0,
03072102,Ospedale(S.Paolo),"",41.117552,16.781005,03072102,0,
03094004,S. Caterina I,"",41.098872,16.830275,03094004,0,
03094C00,S. Caterina cap.,"",41.098772,16.829035,03094C00,0,
03120001,Concilio-Innocenzo,"",41.102153,16.864875,03120001,0,
03124101,Cotugno-Flacco,"",41.107413,16.859275,03124101,0,
03168005,"De Laurentis, 4","",41.100533,16.864815,03168005,0,
03168101,"De Laurentis, 3","",41.100283,16.864625,03168101,0,
03232101,Don Guanella,"",41.094693,16.861815,03232101,0,
03237101,Ennio-Capruzzi,"",41.116343,16.862675,03237101,0,
03270002,Bitritto-Frati,"",41.099673,16.845505,03270002,0,
03270104,Bitritto-Partipilo,"",41.099573,16.845365,03270104,0,
03285102,Petroni 41D,"",41.112600,16.868500,03285102,0,
03285103,Petroni-Montegrappa,"",41.109533,16.867765,03285103,0,
03285106,Petroni-Urbano VI,"",41.103813,16.867095,03285106,0,
