procom;out;in;self;sum;inout;saldo
4172;7;10;39;56;17;3
4173;78;50;25;153;128;-28
4174;21;26;46;93;47;5
4175;189;70;35;294;259;-119
4176;624;324;400;1348;948;-300
4177;222;28;99;349;250;-194
4178;117;48;66;231;165;-69
4179;2524;1261;2660;6445;3785;-1263
4180;1095;915;1296;3306;2010;-180
4181;379;58;172;609;437;-321
4182;49;3;2;54;52;-46
4183;32;12;5;49;44;-20
4184;28;294;4;326;322;266
4185;700;387;594;1681;1087;-313
4186;85;60;85;230;145;-25
4187;646;221;203;1070;867;-425
4188;44;9;6;59;53;-35
4189;491;269;326;1086;760;-222
4190;611;251;426;1288;862;-360
4191;343;152;80;575;495;-191
4192;1060;337;469;1866;1397;-723
4193;49;47;45;141;96;-2
4194;719;618;238;1575;1337;-101
4195;131;24;56;211;155;-107
4196;384;239;164;787;623;-145
4197;269;607;226;1102;876;338
4198;132;46;48;226;178;-86
4199;190;84;65;339;274;-106
4200;72;4;10;86;76;-68
4201;406;75;207;688;481;-331
4202;217;167;155;539;384;-50
4203;2945;6267;5799;15011;9212;3322
4204;25;1;22;48;26;-24
4205;165;120;306;591;285;-45
4206;66;7;12;85;73;-59
4207;114;96;66;276;210;-18
4208;1007;380;510;1897;1387;-627
4209;590;344;644;1578;934;-246
4210;579;422;395;1396;1001;-157
4211;761;375;589;1725;1136;-386
4212;979;1017;536;2532;1996;38
4213;983;640;1182;2805;1623;-343
4214;542;77;154;773;619;-465
4215;3638;6105;7520;17263;9743;2467
4216;83;15;13;111;98;-68
4217;586;345;580;1511;931;-241
4218;204;218;128;550;422;14
4219;102;31;47;180;133;-71
4220;179;90;75;344;269;-89
4221;120;16;55;191;136;-104
4222;1929;758;1416;4103;2687;-1171
4223;922;587;607;2116;1509;-335
4224;20;53;23;96;73;33
4225;836;225;333;1394;1061;-611
4226;61;22;17;100;83;-39
4227;155;48;46;249;203;-107
4228;190;550;209;949;740;360
4229;16;1;4;21;17;-15
4230;285;172;188;645;457;-113
4231;128;29;57;214;157;-99
4232;628;438;556;1622;1066;-190
4233;262;117;153;532;379;-145
4234;274;92;121;487;366;-182
4235;24;9;4;37;33;-15
4236;15;2;4;21;17;-13
4237;438;227;291;956;665;-211
4238;223;426;82;731;649;203
4239;338;109;243;690;447;-229
4240;1783;1432;1704;4919;3215;-351
4241;793;530;428;1751;1323;-263
4242;1024;341;635;2000;1365;-683
4243;1143;275;338;1756;1418;-868
4244;702;586;763;2051;1288;-116
4245;1599;1052;1378;4029;2651;-547
4246;197;83;120;400;280;-114
4247;544;286;271;1101;830;-258
4248;118;158;189;465;276;40
4249;95;18;63;176;113;-77
4250;180;77;130;387;257;-103
5001;470;324;303;1097;794;-146
5002;164;136;96;396;300;-28
5003;351;101;89;541;452;-250
5004;195;42;61;298;237;-153
5005;7739;12801;29481;50021;20540;5062
5006;191;27;15;233;218;-164
5007;318;360;281;959;678;42
5008;113;27;22;162;140;-86
5009;189;29;28;246;218;-160
5010;111;35;39;185;146;-76
5011;178;179;241;598;357;1
5012;902;319;498;1719;1221;-583
5013;555;613;350;1518;1168;58
5014;442;221;159;822;663;-221
5015;350;100;260;710;450;-250
5016;179;24;19;222;203;-155
5017;1759;2474;3500;7733;4233;715
5018;412;175;76;663;587;-237
5019;128;2;9;139;130;-126
5020;166;45;72;283;211;-121
5021;209;19;97;325;228;-190
5022;987;531;898;2416;1518;-456
5023;438;94;123;655;532;-344
5024;158;154;164;476;312;-4
5025;899;1005;552;2456;1904;106
5026;133;26;16;175;159;-107
5027;70;13;19;102;83;-57
5028;636;438;324;1398;1074;-198
5029;272;84;119;475;356;-188
5030;201;341;129;671;542;140
5031;848;918;725;2491;1766;70
5032;93;95;51;239;188;2
5033;277;43;98;418;320;-234
5034;195;140;30;365;335;-55
5035;76;49;8;133;125;-27
5036;257;126;61;444;383;-131
5037;117;23;83;223;140;-94
5038;93;55;10;158;148;-38
5039;144;42;53;239;186;-102
5040;414;122;275;811;536;-292
5041;108;19;37;164;127;-89
5042;302;712;447;1461;1014;410
5044;85;4;8;97;89;-81
5045;120;24;14;158;144;-96
5046;90;28;30;148;118;-62
5047;276;31;33;340;307;-245
5048;165;179;100;444;344;14
5049;238;12;29;279;250;-226
5050;1517;666;1463;3646;2183;-851
5051;188;24;58;270;212;-164
5052;373;276;162;811;649;-97
5053;426;494;309;1229;920;68
5054;150;30;72;252;180;-120
5055;303;62;52;417;365;-241
5056;186;37;59;282;223;-149
5057;181;49;72;302;230;-132
5058;653;471;441;1565;1124;-182
5059;747;452;320;1519;1199;-295
5060;82;37;81;200;119;-45
5061;88;19;34;141;107;-69
5062;181;7;23;211;188;-174
5063;207;39;51;297;246;-168
5064;56;12;19;87;68;-44
5065;244;296;263;803;540;52
5066;536;369;491;1396;905;-167
5067;349;233;161;743;582;-116
5068;224;131;244;599;355;-93
5069;704;663;790;2157;1367;-41
5070;344;44;83;471;388;-300
